angle_deg,trial_seed,firing_rate_hz
0,1,5.000000
0,2,5.000000
0,3,4.000000
0,4,4.000000
0,5,5.000000
0,6,4.000000
0,7,6.000000
0,8,6.000000
0,9,4.000000
0,10,3.000000
30,1001,4.000000
30,1002,5.000000
30,1003,4.000000
30,1004,7.000000
30,1005,3.000000
30,1006,5.000000
30,1007,4.000000
30,1008,2.000000
30,1009,4.000000
30,1010,3.000000
60,2001,3.000000
60,2002,2.000000
60,2003,3.000000
60,2004,3.000000
60,2005,4.000000
60,2006,3.000000
60,2007,3.000000
60,2008,3.000000
60,2009,3.000000
60,2010,3.000000
90,3001,2.000000
90,3002,2.000000
90,3003,0.000000
90,3004,1.000000
90,3005,2.000000
90,3006,0.000000
90,3007,1.000000
90,3008,3.000000
90,3009,1.000000
90,3010,1.000000
120,4001,1.000000
120,4002,1.000000
120,4003,1.000000
120,4004,1.000000
120,4005,0.000000
120,4006,1.000000
120,4007,0.000000
120,4008,0.000000
120,4009,1.000000
120,4010,1.000000
150,5001,0.000000
150,5002,1.000000
150,5003,1.000000
150,5004,1.000000
150,5005,0.000000
150,5006,1.000000
150,5007,1.000000
150,5008,1.000000
150,5009,1.000000
150,5010,1.000000
180,6001,1.000000
180,6002,1.000000
180,6003,1.000000
180,6004,1.000000
180,6005,1.000000
180,6006,1.000000
180,6007,1.000000
180,6008,0.000000
180,6009,1.000000
180,6010,0.000000
210,7001,0.000000
210,7002,0.000000
210,7003,0.000000
210,7004,1.000000
210,7005,1.000000
210,7006,1.000000
210,7007,1.000000
210,7008,1.000000
210,7009,0.000000
210,7010,1.000000
240,8001,1.000000
240,8002,1.000000
240,8003,0.000000
240,8004,1.000000
240,8005,1.000000
240,8006,1.000000
240,8007,1.000000
240,8008,1.000000
240,8009,1.000000
240,8010,1.000000
270,9001,2.000000
270,9002,2.000000
270,9003,2.000000
270,9004,2.000000
270,9005,1.000000
270,9006,1.000000
270,9007,1.000000
270,9008,1.000000
270,9009,2.000000
270,9010,1.000000
300,10001,3.000000
300,10002,3.000000
300,10003,2.000000
300,10004,1.000000
300,10005,4.000000
300,10006,2.000000
300,10007,3.000000
300,10008,1.000000
300,10009,4.000000
300,10010,3.000000
330,11001,4.000000
330,11002,4.000000
330,11003,4.000000
330,11004,4.000000
330,11005,4.000000
330,11006,4.000000
330,11007,3.000000
330,11008,4.000000
330,11009,3.000000
330,11010,4.000000
