gampa_ns,gaba_base_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
3.000000,0.200000,300,10004,968,123.7939,-47.1588
3.000000,0.200000,300,10004,976,124.0159,-47.4577
3.000000,0.200000,300,10004,984,124.5981,-48.0366
3.000000,0.200000,300,10004,992,125.9315,-49.8129
3.000000,0.200000,300,10004,1000,127.9566,-53.6399
3.000000,0.200000,300,10004,1008,127.9740,-53.6734
3.000000,0.200000,300,10004,1016,128.0701,-53.8511
3.000000,0.200000,300,10004,1024,128.4523,-54.3465
3.000000,0.200000,300,10004,1032,128.7295,-54.5785
3.000000,0.200000,300,10004,1040,128.7879,-54.6211
3.000000,0.200000,300,10004,1048,129.0226,-54.7144
3.000000,0.200000,300,10004,1056,129.7130,-54.6054
3.000000,0.200000,300,10004,1064,129.7337,-54.6021
3.000000,0.200000,300,10004,1072,129.8509,-54.5767
3.000000,0.200000,300,10004,1080,130.2506,-54.3664
3.000000,0.200000,300,10004,1088,131.0166,-54.0250
3.000000,0.200000,300,10004,1096,132.5331,-54.7097
3.000000,0.200000,300,10004,1104,134.8443,-57.4451
3.000000,0.200000,300,10004,1112,139.1833,-61.8132
3.000000,0.200000,300,10004,1120,146.3372,-64.3028
3.000000,0.200000,300,10004,1128,155.7343,-64.7400
3.000000,0.200000,300,10004,1136,174.5837,-64.7738
3.000000,0.200000,300,10004,1144,235.4555,-64.7735
3.000000,0.200000,300,10005,0,0.0000,-65.0000
3.000000,0.200000,300,10005,8,0.0654,-64.9915
3.000000,0.200000,300,10005,16,0.7270,-64.9524
3.000000,0.200000,300,10005,24,6.3810,-64.8070
3.000000,0.200000,300,10005,32,24.0332,-64.7738
3.000000,0.200000,300,10005,40,84.4137,-64.7735
3.000000,0.200000,300,10005,48,100.0066,-64.7708
3.000000,0.200000,300,10005,56,100.0326,-64.6783
3.000000,0.200000,300,10005,64,100.0535,-64.5014
3.000000,0.200000,300,10005,72,100.0955,-63.9046
3.000000,0.200000,300,10005,80,100.2253,-60.5408
3.000000,0.200000,300,10005,88,100.4896,-50.7191
3.000000,0.200000,300,10005,96,100.9676,-35.1888
3.000000,0.200000,300,10005,104,101.0051,-34.2658
3.000000,0.200000,300,10005,112,101.2464,-29.2475
3.000000,0.200000,300,10005,120,101.3135,-28.1234
3.000000,0.200000,300,10005,128,101.3396,-27.7135
3.000000,0.200000,300,10005,136,101.3770,-27.1482
3.000000,0.200000,300,10005,144,101.4316,-26.3632
3.000000,0.200000,300,10005,152,101.5564,-24.7532
3.000000,0.200000,300,10005,160,101.5985,-24.2615
3.000000,0.200000,300,10005,168,101.8959,-21.4424
3.000000,0.200000,300,10005,176,102.1252,-20.0165
3.000000,0.200000,300,10005,184,102.1586,-19.8556
3.000000,0.200000,300,10005,192,102.2405,-19.4840
3.000000,0.200000,300,10005,200,102.4567,-18.6873
3.000000,0.200000,300,10005,208,102.5557,-18.4150
3.000000,0.200000,300,10005,216,102.6714,-18.1611
3.000000,0.200000,300,10005,224,102.8251,-17.9202
3.000000,0.200000,300,10005,232,102.8936,-17.8405
3.000000,0.200000,300,10005,240,102.9629,-17.7702
3.000000,0.200000,300,10005,248,103.1283,-17.6373
3.000000,0.200000,300,10005,256,103.2382,-17.5833
3.000000,0.200000,300,10005,264,103.3259,-17.5576
3.000000,0.200000,300,10005,272,103.5118,-17.5470
3.000000,0.200000,300,10005,280,103.6642,-17.5764
3.000000,0.200000,300,10005,288,103.9453,-17.7310
3.000000,0.200000,300,10005,296,104.0260,-17.8009
3.000000,0.200000,300,10005,304,104.1155,-17.8868
3.000000,0.200000,300,10005,312,104.1606,-17.9313
3.000000,0.200000,300,10005,320,104.2872,-18.0564
3.000000,0.200000,300,10005,328,104.3713,-18.1406
3.000000,0.200000,300,10005,336,104.4495,-18.2173
3.000000,0.200000,300,10005,344,104.5539,-18.3163
3.000000,0.200000,300,10005,352,104.7974,-18.5417
3.000000,0.200000,300,10005,360,105.3850,-19.3363
3.000000,0.200000,300,10005,368,105.4634,-19.4848
3.000000,0.200000,300,10005,376,105.5447,-19.6445
3.000000,0.200000,300,10005,384,105.5997,-19.7526
3.000000,0.200000,300,10005,392,105.7213,-19.9766
3.000000,0.200000,300,10005,400,105.7765,-20.0722
3.000000,0.200000,300,10005,408,105.9054,-20.2617
3.000000,0.200000,300,10005,416,106.1138,-20.5269
3.000000,0.200000,300,10005,424,106.3092,-20.7518
3.000000,0.200000,300,10005,432,106.3621,-20.8125
3.000000,0.200000,300,10005,440,106.5059,-20.9805
3.000000,0.200000,300,10005,448,106.9176,-21.5393
3.000000,0.200000,300,10005,456,106.9985,-21.6672
3.000000,0.200000,300,10005,464,107.2975,-22.1645
3.000000,0.200000,300,10005,472,107.3138,-22.1942
3.000000,0.200000,300,10005,480,107.4768,-22.4719
3.000000,0.200000,300,10005,488,108.0198,-23.4203
3.000000,0.200000,300,10005,496,108.7071,-25.1139
3.000000,0.200000,300,10005,504,108.8287,-25.4718
3.000000,0.200000,300,10005,512,109.2032,-26.5810
3.000000,0.200000,300,10005,520,109.3003,-26.8690
3.000000,0.200000,300,10005,528,109.3909,-27.1309
3.000000,0.200000,300,10005,536,109.6028,-27.6942
3.000000,0.200000,300,10005,544,110.0421,-28.7615
3.000000,0.200000,300,10005,552,110.0727,-28.8365
3.000000,0.200000,300,10005,560,110.1621,-29.0484
3.000000,0.200000,300,10005,568,110.3172,-29.3813
3.000000,0.200000,300,10005,576,110.3311,-29.4091
3.000000,0.200000,300,10005,584,110.4285,-29.5764
3.000000,0.200000,300,10005,592,110.7703,-29.8629
