condition_id,angle_deg,trial_seed,firing_rate_hz
kv3_high,210.0,4,13.0
kv3_high,210.0,5,10.0
kv3_high,240.0,1,25.0
kv3_high,240.0,2,19.0
kv3_high,240.0,3,20.0
kv3_high,240.0,4,18.0
kv3_high,240.0,5,19.0
kv3_high,270.0,1,20.0
kv3_high,270.0,2,16.0
kv3_high,270.0,3,22.0
kv3_high,270.0,4,19.0
kv3_high,270.0,5,22.0
kv3_high,300.0,1,20.0
kv3_high,300.0,2,19.0
kv3_high,300.0,3,17.0
kv3_high,300.0,4,18.0
kv3_high,300.0,5,21.0
kv3_high,330.0,1,20.0
kv3_high,330.0,2,18.0
kv3_high,330.0,3,16.0
kv3_high,330.0,4,17.0
kv3_high,330.0,5,19.0
kv3_low,0.0,1,18.0
kv3_low,0.0,2,12.0
kv3_low,0.0,3,16.0
kv3_low,0.0,4,14.0
kv3_low,0.0,5,17.0
kv3_low,30.0,1,11.0
kv3_low,30.0,2,14.0
kv3_low,30.0,3,14.0
kv3_low,30.0,4,15.0
kv3_low,30.0,5,15.0
kv3_low,60.0,1,7.0
kv3_low,60.0,2,7.0
kv3_low,60.0,3,7.0
kv3_low,60.0,4,13.0
kv3_low,60.0,5,10.0
kv3_low,90.0,1,9.0
kv3_low,90.0,2,8.0
kv3_low,90.0,3,9.0
kv3_low,90.0,4,10.0
kv3_low,90.0,5,10.0
kv3_low,120.0,1,8.0
kv3_low,120.0,2,8.0
kv3_low,120.0,3,9.0
kv3_low,120.0,4,10.0
kv3_low,120.0,5,10.0
kv3_low,150.0,1,8.0
kv3_low,150.0,2,8.0
kv3_low,150.0,3,9.0
kv3_low,150.0,4,10.0
kv3_low,150.0,5,10.0
kv3_low,180.0,1,8.0
kv3_low,180.0,2,8.0
kv3_low,180.0,3,9.0
kv3_low,180.0,4,10.0
kv3_low,180.0,5,10.0
kv3_low,210.0,1,12.0
kv3_low,210.0,2,9.0
kv3_low,210.0,3,13.0
kv3_low,210.0,4,10.0
kv3_low,210.0,5,7.0
kv3_low,240.0,1,21.0
kv3_low,240.0,2,17.0
kv3_low,240.0,3,17.0
kv3_low,240.0,4,16.0
kv3_low,240.0,5,18.0
kv3_low,270.0,1,18.0
kv3_low,270.0,2,14.0
kv3_low,270.0,3,19.0
kv3_low,270.0,4,18.0
kv3_low,270.0,5,19.0
kv3_low,300.0,1,18.0
kv3_low,300.0,2,16.0
kv3_low,300.0,3,15.0
kv3_low,300.0,4,16.0
kv3_low,300.0,5,18.0
kv3_low,330.0,1,19.0
kv3_low,330.0,2,17.0
kv3_low,330.0,3,14.0
kv3_low,330.0,4,16.0
kv3_low,330.0,5,16.0
kv3_med,0.0,1,18.0
kv3_med,0.0,2,12.0
kv3_med,0.0,3,16.0
kv3_med,0.0,4,14.0
kv3_med,0.0,5,18.0
kv3_med,30.0,1,12.0
kv3_med,30.0,2,15.0
kv3_med,30.0,3,15.0
kv3_med,30.0,4,15.0
kv3_med,30.0,5,15.0
kv3_med,60.0,1,8.0
kv3_med,60.0,2,8.0
kv3_med,60.0,3,9.0
kv3_med,60.0,4,13.0
kv3_med,60.0,5,9.0
kv3_med,90.0,1,9.0
kv3_med,90.0,2,7.0
kv3_med,90.0,3,9.0
kv3_med,90.0,4,9.0
kv3_med,90.0,5,11.0
kv3_med,120.0,1,8.0
kv3_med,120.0,2,7.0
kv3_med,120.0,3,9.0
kv3_med,120.0,4,9.0
kv3_med,120.0,5,11.0
kv3_med,150.0,1,8.0
kv3_med,150.0,2,7.0
kv3_med,150.0,3,9.0
kv3_med,150.0,4,9.0
kv3_med,150.0,5,11.0
