gnmda_ns,angle_deg,trial_seed,firing_rate_hz
0.500000,150,5001,6.666667
0.500000,150,5002,6.666667
0.500000,150,5003,6.666667
0.500000,150,5004,6.666667
0.500000,150,5005,6.666667
0.500000,150,5006,6.666667
0.500000,150,5007,6.666667
0.500000,150,5008,6.666667
0.500000,150,5009,6.666667
0.500000,150,5010,6.666667
0.500000,180,6001,6.000000
0.500000,180,6002,6.000000
0.500000,180,6003,6.000000
0.500000,180,6004,6.000000
0.500000,180,6005,6.000000
0.500000,180,6006,6.000000
0.500000,180,6007,6.000000
0.500000,180,6008,6.000000
0.500000,180,6009,6.000000
0.500000,180,6010,6.000000
0.500000,210,7001,6.666667
0.500000,210,7002,6.666667
0.500000,210,7003,6.666667
0.500000,210,7004,6.666667
0.500000,210,7005,6.666667
0.500000,210,7006,6.666667
0.500000,210,7007,6.666667
0.500000,210,7008,6.666667
0.500000,210,7009,6.666667
0.500000,210,7010,6.666667
0.500000,240,8001,7.333333
0.500000,240,8002,7.333333
0.500000,240,8003,7.333333
0.500000,240,8004,7.333333
0.500000,240,8005,7.333333
0.500000,240,8006,7.333333
0.500000,240,8007,7.333333
0.500000,240,8008,7.333333
0.500000,240,8009,7.333333
0.500000,240,8010,7.333333
0.500000,270,9001,6.000000
0.500000,270,9002,6.000000
0.500000,270,9003,6.000000
0.500000,270,9004,6.000000
0.500000,270,9005,6.000000
0.500000,270,9006,6.000000
0.500000,270,9007,6.000000
0.500000,270,9008,6.000000
0.500000,270,9009,6.000000
0.500000,270,9010,6.000000
0.500000,300,10001,6.000000
0.500000,300,10002,6.000000
0.500000,300,10003,6.000000
0.500000,300,10004,6.000000
0.500000,300,10005,6.000000
0.500000,300,10006,6.000000
0.500000,300,10007,6.000000
0.500000,300,10008,6.000000
0.500000,300,10009,6.000000
0.500000,300,10010,6.000000
0.500000,330,11001,6.000000
0.500000,330,11002,6.000000
0.500000,330,11003,6.000000
0.500000,330,11004,6.000000
0.500000,330,11005,6.000000
0.500000,330,11006,6.000000
0.500000,330,11007,6.000000
0.500000,330,11008,6.000000
0.500000,330,11009,6.000000
0.500000,330,11010,6.000000
1.000000,0,1,4.666667
1.000000,0,2,4.666667
1.000000,0,3,4.666667
1.000000,0,4,4.666667
1.000000,0,5,4.666667
1.000000,0,6,4.666667
1.000000,0,7,4.666667
1.000000,0,8,4.666667
1.000000,0,9,4.666667
1.000000,0,10,4.666667
1.000000,30,1001,4.000000
1.000000,30,1002,4.000000
1.000000,30,1003,4.000000
1.000000,30,1004,4.000000
1.000000,30,1005,4.000000
1.000000,30,1006,4.000000
1.000000,30,1007,4.000000
1.000000,30,1008,4.000000
1.000000,30,1009,4.000000
1.000000,30,1010,4.000000
1.000000,60,2001,4.666667
1.000000,60,2002,4.666667
1.000000,60,2003,4.666667
1.000000,60,2004,4.666667
1.000000,60,2005,4.666667
1.000000,60,2006,4.666667
1.000000,60,2007,4.666667
1.000000,60,2008,4.666667
1.000000,60,2009,4.666667
1.000000,60,2010,4.666667
1.000000,90,3001,4.666667
1.000000,90,3002,4.666667
1.000000,90,3003,4.666667
1.000000,90,3004,4.666667
1.000000,90,3005,4.666667
1.000000,90,3006,4.666667
1.000000,90,3007,4.666667
1.000000,90,3008,4.666667
1.000000,90,3009,4.666667
1.000000,90,3010,4.666667
1.000000,120,4001,4.000000
1.000000,120,4002,4.000000
1.000000,120,4003,4.000000
1.000000,120,4004,4.000000
1.000000,120,4005,4.000000
1.000000,120,4006,4.000000
1.000000,120,4007,4.000000
1.000000,120,4008,4.000000
1.000000,120,4009,4.000000
1.000000,120,4010,4.000000
1.000000,150,5001,4.666667
1.000000,150,5002,4.666667
1.000000,150,5003,4.666667
1.000000,150,5004,4.666667
1.000000,150,5005,4.666667
1.000000,150,5006,4.666667
1.000000,150,5007,4.666667
1.000000,150,5008,4.666667
1.000000,150,5009,4.666667
1.000000,150,5010,4.666667
1.000000,180,6001,4.666667
1.000000,180,6002,4.666667
1.000000,180,6003,4.666667
1.000000,180,6004,4.666667
1.000000,180,6005,4.666667
1.000000,180,6006,4.666667
1.000000,180,6007,4.666667
1.000000,180,6008,4.666667
1.000000,180,6009,4.666667
1.000000,180,6010,4.666667
1.000000,210,7001,4.666667
1.000000,210,7002,4.666667
1.000000,210,7003,4.666667
1.000000,210,7004,4.666667
1.000000,210,7005,4.666667
1.000000,210,7006,4.666667
1.000000,210,7007,4.666667
1.000000,210,7008,4.666667
1.000000,210,7009,4.666667
1.000000,210,7010,4.666667
1.000000,240,8001,4.666667
1.000000,240,8002,4.666667
1.000000,240,8003,4.666667
1.000000,240,8004,4.666667
1.000000,240,8005,4.666667
1.000000,240,8006,4.666667
1.000000,240,8007,4.666667
1.000000,240,8008,4.666667
1.000000,240,8009,4.666667
1.000000,240,8010,4.666667
1.000000,270,9001,4.666667
1.000000,270,9002,4.666667
1.000000,270,9003,4.666667
1.000000,270,9004,4.666667
1.000000,270,9005,4.666667
1.000000,270,9006,4.666667
1.000000,270,9007,4.666667
1.000000,270,9008,4.666667
1.000000,270,9009,4.666667
1.000000,270,9010,4.666667
1.000000,300,10001,4.666667
1.000000,300,10002,4.666667
1.000000,300,10003,4.666667
1.000000,300,10004,4.666667
1.000000,300,10005,4.666667
1.000000,300,10006,4.666667
1.000000,300,10007,4.666667
1.000000,300,10008,4.666667
1.000000,300,10009,4.666667
1.000000,300,10010,4.666667
1.000000,330,11001,4.666667
1.000000,330,11002,4.666667
1.000000,330,11003,4.666667
1.000000,330,11004,4.666667
1.000000,330,11005,4.666667
1.000000,330,11006,4.666667
1.000000,330,11007,4.666667
1.000000,330,11008,4.666667
1.000000,330,11009,4.666667
1.000000,330,11010,4.666667
