gnmda_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.000000,0,1,0,0.0000,-65.0000
0.000000,0,1,8,0.0707,-64.9854
0.000000,0,1,16,0.6925,-64.9161
0.000000,0,1,24,5.7031,-64.6221
0.000000,0,1,32,14.5994,-64.5431
0.000000,0,1,40,23.4957,-64.5550
0.000000,0,1,48,32.3920,-64.5604
0.000000,0,1,56,41.2882,-64.5625
0.000000,0,1,64,61.0579,-64.5615
0.000000,0,1,72,100.0076,-64.5602
0.000000,0,1,80,100.0453,-64.5299
0.000000,0,1,88,100.0703,-64.4847
0.000000,0,1,96,100.1598,-64.1907
0.000000,0,1,104,100.3261,-63.2206
0.000000,0,1,112,100.3801,-62.8223
0.000000,0,1,120,100.4750,-62.0513
0.000000,0,1,128,100.5500,-61.3946
0.000000,0,1,136,100.6091,-60.8553
0.000000,0,1,144,100.9710,-57.3880
0.000000,0,1,152,101.0425,-56.6991
0.000000,0,1,160,101.0809,-56.3307
0.000000,0,1,168,101.2711,-54.4818
0.000000,0,1,176,101.6213,-50.7154
0.000000,0,1,184,101.8987,-46.0769
0.000000,0,1,192,102.1199,-36.8480
0.000000,0,1,200,102.2594,-24.8462
0.000000,0,1,208,102.3853,-13.3615
0.000000,0,1,216,102.5865,1.4467
0.000000,0,1,224,102.6690,6.1080
0.000000,0,1,232,102.6885,7.0878
0.000000,0,1,240,102.7409,9.4999
0.000000,0,1,248,102.8032,11.9458
0.000000,0,1,256,102.9021,14.9703
0.000000,0,1,264,103.0139,17.2617
0.000000,0,1,272,103.0715,18.0359
0.000000,0,1,280,103.2179,18.9643
0.000000,0,1,288,103.6301,15.8453
0.000000,0,1,296,103.7641,13.6224
0.000000,0,1,304,104.0237,8.3211
0.000000,0,1,312,104.0774,7.1040
0.000000,0,1,320,104.4317,-1.4635
0.000000,0,1,328,104.7401,-9.1657
0.000000,0,1,336,104.8382,-11.5734
0.000000,0,1,344,105.0100,-15.6880
0.000000,0,1,352,105.1115,-18.0368
0.000000,0,1,360,105.7252,-30.5363
0.000000,0,1,368,106.2301,-38.6202
0.000000,0,1,376,106.3684,-40.5747
0.000000,0,1,384,106.5566,-43.1027
0.000000,0,1,392,106.9678,-48.1815
0.000000,0,1,400,107.4200,-52.9865
0.000000,0,1,408,107.4700,-53.4528
0.000000,0,1,416,107.5815,-54.4335
0.000000,0,1,424,107.9850,-57.3330
0.000000,0,1,432,108.0909,-57.9426
0.000000,0,1,440,108.2643,-58.8214
0.000000,0,1,448,108.3431,-59.1721
0.000000,0,1,456,108.4007,-59.4067
0.000000,0,1,464,108.5724,-60.0018
0.000000,0,1,472,108.6828,-60.3150
0.000000,0,1,480,109.0676,-61.0873
0.000000,0,1,488,109.2359,-61.3243
0.000000,0,1,496,109.3127,-61.4150
0.000000,0,1,504,109.3746,-61.4773
0.000000,0,1,512,109.6450,-61.6378
0.000000,0,1,520,109.7342,-61.6636
